environment,n_spatial_units,ici,linear_fe_r2,xgboost_r2,stgnn_r2,e1_stgnn_minus_xgboost,e2_stgnn_minus_linear_fe,best_reported_nonspatial_r2,best_reported_model,e4_stgnn_minus_best_reported,e1_positive,e2_positive,e4_positive,primary_ici_sample,source_notes,fold_outputs_status,formal_uncertainty_status
Japan (NDB),47,0.877,-4.827,-3.155,0.081,3.2359999999999998,4.908,-3.155,XGBoost,3.2359999999999998,True,True,True,True,High-ICI / High-SWH (spatial gain vs. XGBoost comparator),MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
UK NHS (Full),68,0.967,0.928,0.268,0.736,0.46799999999999997,-0.19200000000000006,0.928,Linear+FE,-0.19200000000000006,True,False,False,True,High-ICI / High-SWH (spatial gain vs. XGBoost comparator),MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
England NHS,42,0.889,0.918,0.783,0.101,-0.682,-0.8170000000000001,0.918,Linear+FE,-0.8170000000000001,False,False,False,False,High-ICI / Low-SWH (England paradox),MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
South Korea (HIRA),17,0.197,0.753,0.875,-0.063,-0.938,-0.8160000000000001,0.875,XGBoost,-0.938,False,False,False,True,Low-ICI (geometric resolution limit),MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
California,58,0.333,0.86,0.102,-0.209,-0.311,-1.069,0.86,Linear+FE,-1.069,False,False,False,True,Low-ICI,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
Texas,252,0.446,0.778,0.043,0.047,0.0040000000000000036,-0.731,0.778,Linear+FE,-0.731,True,False,False,True,Low-ICI,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
Florida,67,0.335,0.576,0.068,-0.296,-0.364,-0.8719999999999999,0.576,Linear+FE,-0.8719999999999999,False,False,False,True,Low-ICI Spatial Failure,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
New York,62,0.361,0.675,-0.345,0.083,0.428,-0.5920000000000001,0.675,Linear+FE,-0.5920000000000001,True,False,False,True,Low-ICI Spatial Advantage,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
Nebraska,93,0.76,0.52,-0.103,0.166,0.269,-0.354,0.52,Linear+FE,-0.354,True,False,False,True,Stochastic Transition,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
Mississippi,82,0.74,0.656,-0.336,0.05,0.386,-0.606,0.656,Linear+FE,-0.606,True,False,False,True,Stochastic Transition,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
Oklahoma,77,0.702,0.767,0.048,0.066,0.018000000000000002,-0.7010000000000001,0.767,Linear+FE,-0.7010000000000001,True,False,False,True,Stochastic Transition,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
Arkansas,75,0.669,0.835,0.026,0.045,0.019,-0.7899999999999999,0.835,Linear+FE,-0.7899999999999999,True,False,False,True,Stochastic Transition,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
Indiana,92,0.581,0.627,-0.154,0.119,0.273,-0.508,0.627,Linear+FE,-0.508,True,False,False,True,Low-ICI Spatial Advantage,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
North Carolina,100,0.484,0.455,-0.075,-0.167,-0.09200000000000001,-0.622,0.455,Linear+FE,-0.622,False,False,False,True,Low-ICI Spatial Failure,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
Michigan,83,0.423,0.816,-0.189,0.098,0.28700000000000003,-0.718,0.816,Linear+FE,-0.718,True,False,False,True,Low-ICI Residual Capture,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
Louisiana,64,0.421,0.9,-0.301,0.071,0.372,-0.8290000000000001,0.9,Linear+FE,-0.8290000000000001,True,False,False,True,Low-ICI Spatial Advantage,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
Ohio,88,0.402,0.641,-0.257,0.038,0.295,-0.603,0.641,Linear+FE,-0.603,True,False,False,True,Low-ICI Spatial Advantage,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
Wisconsin,72,0.394,0.437,-0.026,0.028,0.054,-0.409,0.437,Linear+FE,-0.409,True,False,False,True,Low-ICI Spatial Advantage,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
Pennsylvania,67,0.348,0.741,-1.25,-0.004,1.246,-0.745,0.741,Linear+FE,-0.745,True,False,False,False,Inconclusive (XGBoost collapse; excluded),MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
Minnesota,87,0.246,0.755,0.037,0.056,0.019000000000000003,-0.699,0.755,Linear+FE,-0.699,True,False,False,True,Low-ICI Spatial Advantage,MISSING,NOT ESTIMABLE FROM AVAILABLE AGGREGATES
